id,speed,yearInvented,passengers,range
High-speed rail,268,1964,1000,1500
Maglev train,375,1984,1000,500
Hyperloop (proposed),760,2013,28,900
Concorde (retired),1354,1969,100,4500
Boeing 747,614,1969,660,9800
Lockheed SR-71 Blackbird (retired),2193,1964,2,3200
Space Shuttle (retired),17500,1981,7,500
SpaceX Crew Dragon,17500,2020,7,500
Virgin Galactic SpaceShipTwo,2500,2018,6,50
Blue Origin New Shepard,2500,2015,6,60
Bugatti Chiron Super Sport 300+,304,2019,2,300
Hennessey Venom GT,270,2010,2,400
Koenigsegg Agera RS,278,2015,2,600
ThrustSSC (land speed record car),763,1997,1,50
North American X-15 (retired),4520,1959,1,200
