id	filename	speed	year_invented	passengers	range
High-speed rail	fastest.scroll	268		1000	1500
Maglev train	fastest.scroll	375		1000	500
Hyperloop (proposed)	fastest.scroll	760		28	900
Concorde (retired)	fastest.scroll	1354		100	4500
Boeing 747	fastest.scroll	614		660	9800
Lockheed SR-71 Blackbird (retired)	fastest.scroll	2193		2	3200
Space Shuttle (retired)	fastest.scroll	17500		7	500
SpaceX Crew Dragon	fastest.scroll	17500		7	500
Virgin Galactic SpaceShipTwo	fastest.scroll	2500		6	50
Blue Origin New Shepard	fastest.scroll	2500		6	60
Bugatti Chiron Super Sport 300+	fastest.scroll	304		2	300
Hennessey Venom GT	fastest.scroll	270		2	400
Koenigsegg Agera RS	fastest.scroll	278		2	600
ThrustSSC (land speed record car)	fastest.scroll	763		1	50
North American X-15 (retired)	fastest.scroll	4520		1	200
