Nearby Stars
============

> *What is a ScrollSet?* Read the one page paper | Tutorial | Convert a CSV to Scrollset
 https://breckyunits.com/scrollsets.html Read the one page paper
 https://scroll.pub/blog/scrollsets.html Tutorial
 https://scroll.pub/blog/csvToScrollSet.html Convert a CSV to Scrollset

> Note: these ScrollSets were generated by LLMs without extensive human review.

Concepts
========

id,spectralType,distance,apparentMagnitude,absoluteMagnitude,radialVelocity,mass
Proxima Centauri,M5.5Ve,4.24,11.13,15.6,-22.204,0.1221
Alpha Centauri A,G2V,4.37,-0.01,4.38,-21.4,1.1
Alpha Centauri B,K1V,4.37,1.33,5.71,-18,0.907
Barnard's Star,M4.0Ve,5.96,9.54,13.22,-110.51,0.144
Sirius A,A1V,8.66,-1.46,1.42,-5.5,2.02
Sirius B,DA2,8.66,8.44,11.34,-5.5,1.018
Luyten 726-8 A,M5.5Ve,8.73,12.52,15.46,-32.5,0.102
Luyten 726-8 B,M6Ve,8.73,13.05,16.24,-25,0.1
Ross 154,M3.5Ve,9.69,10.44,13.92,-9.6,0.17
Ross 248,M5.5Ve,10.32,12.29,15.8,-81,0.136
Epsilon Eridani,K2V,10.48,3.73,6.18,15.5,0.82
Lacaille 9352,M0.5V,10.73,7.34,10.58,-37,0.45
Ross 128,M4V,11,11.15,14.79,-30,0.168
EZ Aquarii A,M5Ve,11.08,12.87,16.47,-60,0.13
EZ Aquarii B,M5Ve,11.08,12.87,16.47,-60,0.13
EZ Aquarii C,M5Ve,11.08,12.87,16.47,-60,0.13
61 Cygni A,K5V,11.4,5.2,7.49,-64.3,0.67

⁂

Built with Scroll v126.0.0
