Organelles
==========

> *What is a ScrollSet?* Read the one page paper | Tutorial | Convert a CSV to Scrollset
 https://breckyunits.com/scrollsets.html Read the one page paper
 https://scroll.pub/blog/scrollsets.html Tutorial
 https://scroll.pub/blog/csvToScrollSet.html Convert a CSV to Scrollset

> Note: these ScrollSets were generated by LLMs without extensive human review.

Concepts
========

id,organism,diameter,low,median,high
Mitochondria,human,1000,200,500,2000
Chloroplast,plant,6000,20,40,100
Nucleus,human,6000,1,1,2
Golgi Apparatus,human,1200,10,20,50
Endoplasmic Reticulum,human,120,1,1,5
Ribosome,human,25,10000,50000,100000
Lysosome,human,1200,50,200,500
Peroxisome,human,500,100,300,500
Vacuole,plant,30000,1,1,3
Centrosome,human,700,1,2,2
Smooth Endoplasmic Reticulum,human,120,1,1,5
Rough Endoplasmic Reticulum,human,150,1,1,5
Nucleolus,human,2500,1,1,4
Plasmodesmata,plant,50,1000,5000,10000
Mitosome,protozoa,500,5,10,20
Hydrogenosome,protozoa,500,5,10,20
Glyoxysome,plant,300,100,200,300
Chromoplast,plant,2000,2,5,10
Amyloplast,plant,2000,5,10,30
Elaioplast,plant,1000,10,20,50
Periplastidial compartment (PPC),plant,100,5,15,30
Flagellum,protozoa,200,1,1,10
Cilium,human,250,10,50,100

⁂

Built with Scroll v132.0.0
