Programming Languages
=====================

> *What is a ScrollSet?* Read the one page paper | Tutorial | Convert a CSV to Scrollset
 https://breckyunits.com/scrollsets.html Read the one page paper
 https://scroll.pub/blog/scrollsets.html Tutorial
 https://scroll.pub/blog/csvToScrollSet.html Convert a CSV to Scrollset

> Note: these ScrollSets were generated by LLMs without extensive human review.

Concepts
========

id,wikipedia,creators,appeared,openSource
JavaScript,https://en.wikipedia.org/wiki/JavaScript,Brendan Eich,1995,true
Python,https://en.wikipedia.org/wiki/Python_(programming_language),Guido van Rossum,1991,true
Java,https://en.wikipedia.org/wiki/Java_(programming_language),James Gosling,1995,true
C++,https://en.wikipedia.org/wiki/C%2B%2B,Bjarne Stroustrup,1979,true
C#,https://en.wikipedia.org/wiki/C_Sharp_(programming_language),Microsoft,2000,true
PHP,https://en.wikipedia.org/wiki/PHP,Rasmus Lerdorf,1995,true
Swift,https://en.wikipedia.org/wiki/Swift_(programming_language),Apple Inc.,2014,true
Go,https://en.wikipedia.org/wiki/Go_(programming_language),"Robert Griesemer, Rob Pike, Ken Thompson",2009,true
Kotlin,https://en.wikipedia.org/wiki/Kotlin_(programming_language),JetBrains,2011,true
Ruby,https://en.wikipedia.org/wiki/Ruby_(programming_language),Yukihiro Matsumoto,1995,true
Rust,https://en.wikipedia.org/wiki/Rust_(programming_language),Graydon Hoare,2010,true
Scala,https://en.wikipedia.org/wiki/Scala_(programming_language),Martin Odersky,2004,true
TypeScript,https://en.wikipedia.org/wiki/TypeScript,Microsoft,2012,true
Dart,https://en.wikipedia.org/wiki/Dart_(programming_language),"Lars Bak, Kasper Lund",2011,true
Elixir,https://en.wikipedia.org/wiki/Elixir_(programming_language),José Valim,2011,true
Clojure,https://en.wikipedia.org/wiki/Clojure,Rich Hickey,2007,true
Haskell,https://en.wikipedia.org/wiki/Haskell_(programming_language),"Lennart Augustsson, Dave Barton, Brian Boutel, Warren Burton, Joseph Fasel, Kevin Hammond, Ralf Hinze, Paul Hudak, John Hughes, Thomas Johnsson, Mark Jones, Simon Peyton Jones, John Launchbury, Erik Meijer, John Peterson, Alastair Reid, Colin Runciman, Philip Wadler",1990,true
Lua,https://en.wikipedia.org/wiki/Lua_(programming_language),"Roberto Ierusalimschy, Waldemar Celes, Luiz Henrique de Figueiredo",1993,true
Perl,https://en.wikipedia.org/wiki/Perl,Larry Wall,1987,true
R,https://en.wikipedia.org/wiki/R_(programming_language),"Ross Ihaka, Robert Gentleman",1993,true

⁂

Built with Scroll v125.0.0
